,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-04-12,89.46785046132732,46.01558857987937,10.997592503159273,471.86123187650463,Pessimistic,1364.0
1,2021-04-13,89.9369121853274,46.734121559334845,11.193316700549165,472.96966242872793,Pessimistic,1354.0
2,2021-04-14,90.35642191326929,47.393824182207226,11.388847276458137,474.0976497766603,Pessimistic,1330.0
3,2021-04-15,90.74454398876674,47.99955089826341,11.582692548790245,475.24509768771406,Pessimistic,1285.0
4,2021-04-16,91.11222626858216,48.556280706129506,11.773635161544757,476.4117748126489,Pessimistic,1264.0
5,2021-04-17,91.4660574343809,49.06887797069903,11.960705800795633,477.5973408118016,Pessimistic,1259.0
6,2021-04-18,91.80999291633702,49.54194926022611,12.143154396830438,478.8013697054555,Pessimistic,1256.0
7,2021-04-19,92.14639747118213,49.97976480623728,12.320421170316285,480.0233703242904,Pessimistic,1287.0
8,2021-04-20,92.47667500699504,50.38622281251604,12.492108953785182,481.262803922103,Pessimistic,1303.0
9,2021-04-21,92.80164908517781,50.76484157243157,12.657957597406666,482.5190991227963,Pessimistic,1274.0
10,2021-04-22,93.12179281208137,51.11876906375642,12.817820856088893,483.79166443243554,Pessimistic,1280.0
11,2021-04-23,93.43736774577019,51.45080298137204,12.971645887928428,485.07989857250084,Pessimistic,1259.0
12,2021-04-24,93.74850783544434,51.76341646368042,13.119455326222337,486.3831988944006,Pessimistic,1261.0
13,2021-04-25,94.05527015134294,52.058786364544154,13.26133178682164,487.7009681260605,Pessimistic,1285.0
14,2021-04-26,94.35766554954489,52.338822027399225,13.397404617397816,489.03261968453154,Pessimistic,1290.0
0,2021-04-12,88.83912821890908,45.77597359274704,10.985798426035911,471.8593177891277,Expected,1364.0
1,2021-04-13,88.46647345950214,46.404474474793,11.175034943839483,472.966261751856,Expected,1352.0
2,2021-04-14,88.22077493356619,46.9597869957101,11.362086780918307,474.0920166443365,Expected,1326.0
3,2021-04-15,88.05048156383191,47.447660162972824,11.54527898383077,475.23627781019957,Expected,1278.0
