,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-04-05,107.12018383089185,43.28215828006744,5.008597113219402,466.7116745032455,Pessimistic,1452.0
1,2021-04-06,105.33510278672497,44.454364003620526,5.0450599612281986,467.21376517834307,Pessimistic,1499.0
2,2021-04-07,104.44944046661112,45.52855044036483,5.091169470020942,467.71999839734735,Pessimistic,1481.0
3,2021-04-08,104.10495386122602,46.51112814846801,5.1448986210655825,468.2312342678689,Pessimistic,1462.0
4,2021-04-09,104.08540765243697,47.4093342088343,5.204493780780099,468.7481441974685,Pessimistic,1453.0
5,2021-04-10,104.26025954034935,48.23069125177742,5.26845493688323,469.2712372563644,Pessimistic,1455.0
6,2021-04-11,104.55068022240289,48.98264192785098,5.335512582143209,469.80088437758076,Pessimistic,1457.0
7,2021-04-12,104.90904917191165,49.67231357321947,5.404603337567141,470.337340170478,Pessimistic,1491.0
8,2021-04-13,105.30658141136291,50.306377108223636,5.474845734741874,470.8807622975038,Pessimistic,1496.0
9,2021-04-14,105.7258605470056,50.89097250000459,5.545517072036855,471.43122847934217,Pessimistic,1488.0
10,2021-04-15,106.15633239172939,51.43168001858783,5.616031891248133,471.9887512656166,Pessimistic,1458.0
11,2021-04-16,106.59158518768118,51.93352200946432,5.685922360369504,472.5532907490955,Pessimistic,1453.0
12,2021-04-17,107.02770802913483,52.400984151029284,5.75482066872752,473.12476542034364,Pessimistic,1464.0
13,2021-04-18,107.46230000683909,52.8380483733467,5.822443421602559,473.70306136399853,Pessimistic,1476.0
14,2021-04-19,107.89387210117457,53.24823199613402,5.88857794607749,474.2880399924941,Pessimistic,1477.0
0,2021-04-05,106.43821359531353,43.04281620677993,5.003471974843168,466.7108450752426,Expected,1451.0
1,2021-04-06,103.72822147340503,44.1243985163989,5.037100399540023,467.21228908125073,Expected,1497.0
2,2021-04-07,102.09987210690929,45.09324335900287,5.079497499302592,467.71754939146683,Expected,1477.0
3,2021-04-08,101.12502880238685,45.95661245820809,5.128552604240062,468.22739406746757,Expected,1455.0
4,2021-04-09,100.54418132410115,46.72273735830564,5.182447280763474,468.74239505673194,Expected,1443.0
5,2021-04-10,100.2000228509371,47.40020074937442,5.239634963593424,469.26295641584227,Expected,1441.0
6,2021-04-11,99.99719431557219,47.99751556053644,5.298816521396832,469.7893402722241,Expected,1438.0
7,2021-04-12,99.8778865567092,48.52285198660421,5.358914149637477,470.3216902448413,Expected,1467.0
8,2021-04-13,99.80705279978201,48.98387228690726,5.419045231447219,470.86005224416334,Expected,1467.0
