,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-04-03,104.23126990551259,41.93360585454826,9.013103919289511,466.87055681723086,Pessimistic,1378.0
1,2021-04-04,107.55816007901763,43.59666630950207,9.353527911798617,467.7878460946516,Pessimistic,1407.0
2,2021-04-05,109.1809019054881,45.21479830624624,9.70748179265865,468.7398418172848,Pessimistic,1475.0
3,2021-04-06,111.12467197639171,46.79231938470413,10.072479059166128,469.72776829014754,Pessimistic,1528.0
4,2021-04-07,113.27601018457153,48.334228742819334,10.44640162373263,470.7526199596045,Pessimistic,1519.0
5,2021-04-08,115.56770664763121,49.845787559569665,10.827477489931633,471.81519718691044,Pessimistic,1512.0
6,2021-04-09,117.95998597295875,51.33223931741349,11.214250896333764,472.91613937485687,Pessimistic,1517.0
7,2021-04-10,120.42934319771643,52.79863115124789,11.605548986324898,474.0559549106739,Pessimistic,1535.0
8,2021-04-11,122.96191918444197,54.249706765255155,12.000447724467307,475.2350477234937,Pessimistic,1555.0
9,2021-04-12,125.54956922627116,55.689849064766484,12.398238808637332,476.45374047528037,Pessimistic,1610.0
10,2021-04-13,128.18752957927472,57.12305654603496,12.798398636323492,477.7122945423503,Pessimistic,1638.0
11,2021-04-14,130.87303211779363,58.552941956984306,13.200559902488775,479.0109270248254,Pessimistic,1655.0
12,2021-04-15,133.60448158083727,59.98274507433002,13.604486079538837,480.3498250616263,Pessimistic,1653.0
13,2021-04-16,136.3809666598322,61.41535389262787,14.010048814396844,481.7291577421015,Pessimistic,1677.0
14,2021-04-17,139.20196919512728,62.85333030107066,14.417208141293216,483.1490859015189,Pessimistic,1712.0
15,2021-04-18,142.067190937767,64.29893760334454,14.825995327845394,484.6097700730935,Pessimistic,1746.0
0,2021-04-03,104.23126990551259,41.8077739462807,9.007513499392582,466.8697839343093,Expected,1378.0
1,2021-04-04,107.06154483253908,43.411681220613715,9.344133670108318,467.78633605592603,Expected,1406.0
2,2021-04-05,108.00284989209399,44.95766443987291,9.692804299506422,468.73714267638076,Expected,1473.0
3,2021-04-06,109.3832211730521,46.45007790230724,10.050815754820617,469.7232689651548,Expected,1524.0
4,2021-04-07,111.03635076269552,47.8941312465224,10.415851734277792,470.7455291652381,Expected,1513.0
5,2021-04-08,112.8632610362531,49.29540191644782,10.785968426541087,471.804524947704,Expected,1503.0
6,2021-04-09,114.80504154073287,50.65950504098164,11.159564350420949,472.9006811725358,Expected,1505.0
7,2021-04-10,116.82662337968122,51.991878826552984,11.535345550364065,474.03427837235404,Expected,1520.0
8,2021-04-11,118.90712197031712,53.297652935437846,11.912289341277383,475.2054816652198,Expected,1536.0
