,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-02-17,51.67224299181271,905.0,39.38014354225318,12.073544250469244,427.53881370496094,Pessimistic
1,2021-02-18,51.545578262880554,850.0,39.11257246808841,11.751568027701849,428.4320912444549,Pessimistic
2,2021-02-19,51.24918718901051,800.0,38.82730609854565,11.454401453303296,429.30216888171395,Pessimistic
3,2021-02-20,50.85079332101577,743.0,38.52607813858463,11.17932868931973,430.15080355872635,Pessimistic
4,2021-02-21,50.391943998311945,718.0,38.210836775299676,10.92393157163496,430.9795598490355,Pessimistic
5,2021-02-22,49.898124360253405,735.0,37.88356527038842,10.686063722643423,431.78983132104565,Pessimistic
6,2021-02-23,49.384963103612336,747.0,37.54617573731385,10.463824186422496,432.58285993148183,Pessimistic
7,2021-02-24,48.86204033626018,740.0,37.200450175653174,10.255531877289137,433.35975346598366,Pessimistic
8,2021-02-25,48.33522415112043,693.0,36.84801168778602,10.05970156475543,434.1215011177554,Pessimistic
9,2021-02-26,47.808104439656745,671.0,36.490314637389694,9.875021756028824,434.8689873348202,Pessimistic
10,2021-02-27,47.2828727649005,647.0,36.12864636710155,9.700334610083752,435.6030040843232,Pessimistic
11,2021-02-28,46.760862322413914,646.0,35.76413565023938,9.534617878242079,436.3242616867234,Pessimistic
12,2021-03-01,46.24287931636627,657.0,35.3977647495805,9.376968784413139,437.0333983689817,Pessimistic
13,2021-03-02,45.72940633512667,686.0,35.03038308397416,9.226589713406167,437.7309886774796,Pessimistic
14,2021-03-03,45.22072717561127,679.0,34.66272125150128,9.082775554673852,438.41755088062644,Pessimistic
0,2021-02-17,50.84873275022835,904.0,39.03646512235668,12.060078936808532,427.5371595266939,Expected
1,2021-02-18,49.64193028094837,847.0,38.64396956578434,11.730836749514923,428.4291674474508,Expected
2,2021-02-19,48.52717295216564,795.0,38.21606658078695,11.424270365150365,429.29735161708237,Expected
3,2021-02-20,47.476914185720034,734.0,37.75643230024738,11.137514203003873,430.14330296104015,Expected
4,2021-02-21,46.47395031487952,705.0,37.2691025908198,10.868057344430923,430.9684109583353,Expected
5,2021-02-22,45.50748673971202,718.0,36.75817170256486,10.613713902465244,431.7738891531003,Expected
6,2021-02-23,44.57070115274951,726.0,36.22760220054488,10.372591123807332,432.5607983420598,Expected
7,2021-02-24,43.65923406408001,714.0,35.68111184852005,10.14305739616946,433.33006735542216,Expected
8,2021-02-25,42.77025371973696,662.0,35.12211291263046,9.923711514118104,434.08251147906947,Expected
9,2021-02-26,41.90187682351575,634.0,34.55368648841775,9.713353991288448,434.8188486448714,Expected
10,2021-02-27,41.052809664011875,604.0,33.978579618759184,9.510960823561673,435.5397135597155,Expected
11,2021-02-28,40.22212577669552,596.0,33.39921668542923,9.315659853493363,436.2456699639799,Expected
12,2021-03-01,39.409128187584884,600.0,32.81771921356682,9.126709722536813,436.93722121483944,Expected
13,2021-03-02,38.613264055074296,622.0,32.23593011590281,8.94348129674989,437.61481938467864,Expected
14,2021-03-03,37.83407177286608,609.0,31.655439735458472,8.765441393919819,438.278873053928,Expected
0,2021-01-19,132.28571428571428,2391.0,55,13,324,Historical
1,2021-01-20,127.85714285714286,2323.0,102,21,325,Historical
2,2021-01-21,119.28571428571429,2120.0,100,23,328,Historical
3,2021-01-22,116.71428571428571,1988.0,84,21,332,Historical
4,2021-01-23,112.28571428571429,1872.0,84,21,336,Historical
5,2021-01-24,115.28571428571429,1825.0,84,21,342,Historical
6,2021-01-25,114.42857142857143,1776.0,89,21,342,Historical
7,2021-01-26,115.28571428571429,1733.0,82,21,401,Historical
8,2021-01-27,119.28571428571429,1730.0,80,22,404,Historical
9,2021-01-28,116.57142857142857,1651.0,71,20,406,Historical
10,2021-01-29,114.14285714285714,1616.0,71,20,407,Historical
11,2021-01-30,111.57142857142857,1567.0,73,19,407,Historical
12,2021-01-31,101.42857142857143,1517.0,73,19,410,Historical
13,2021-02-01,96.71428571428571,1478.0,63,16,410,Historical
14,2021-02-02,95.71428571428571,1477.0,61,19,410,Historical
15,2021-02-03,91.57142857142857,1476.0,55,21,414,Historical
16,2021-02-04,92.57142857142857,1464.0,57,19,416,Historical
17,2021-02-05,90.57142857142857,1433.0,64,17,416,Historical
18,2021-02-06,89.42857142857143,1407.0,64,17,416,Historical
19,2021-02-07,88.42857142857143,1329.0,64,17,418,Historical
20,2021-02-08,80.28571428571429,1239.0,82,22,418,Historical
21,2021-02-09,76.42857142857143,1205.0,63,16,418,Historical
22,2021-02-10,73.85714285714286,1158.0,58,16,423,Historical
23,2021-02-11,72.14285714285714,1153.0,49,14,424,Historical
24,2021-02-12,67.71428571428571,1108.0,40,13,425,Historical
25,2021-02-13,62.42857142857143,1063.0,40,13,425,Historical
26,2021-02-14,58.57142857142857,1029.0,40,13,426,Historical
27,2021-02-15,58.857142857142854,974.0,40,13,426,Historical
28,2021-02-16,56.0,927.0,38,14,426,Historical
29,2021-02-17,52.142857142857146,904.0,39,12,427,Historical
