,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-03-30,100.6074685933961,41.953466573490395,7.0327632535925995,461.04474506532506,Pessimistic,1268.0
1,2021-03-31,100.536337604746,43.79466500558011,7.401476862326851,461.54988547224616,Pessimistic,1281.0
2,2021-04-01,101.3857258661078,45.5827465980212,7.778995571856626,462.0811570260533,Pessimistic,1283.0
3,2021-04-02,102.79738064794037,47.32229691314918,8.16325019067253,462.63910177327864,Pessimistic,1299.0
4,2021-04-03,104.55886832287024,49.01875896619884,8.552491109873573,463.2241281622871,Pessimistic,1323.0
5,2021-04-04,106.54426782412861,50.677947471332956,8.94527231081856,463.83653291688483,Pessimistic,1351.0
6,2021-04-05,108.6789841145619,52.305716947633,9.3404271185956,464.47652147396315,Pessimistic,1419.0
7,2021-04-06,110.91887112467839,53.90774475232686,9.737039716093236,465.1442265560166,Pessimistic,1472.0
8,2021-04-07,113.23784414361307,55.48939764453712,10.134415201934155,465.83972468546744,Pessimistic,1463.0
9,2021-04-08,115.62052896296109,57.05565753256606,10.532050039415578,466.56305060820154,Pessimistic,1456.0
10,2021-04-09,118.05789942279944,58.61108805578942,10.929604054787136,467.3142096976193,Pessimistic,1461.0
11,2021-04-10,120.5446881114367,60.15982848404867,11.326874650691911,468.0931884733494,Pessimistic,1480.0
12,2021-04-11,123.07784920440736,61.70560517268038,11.723773558349526,468.89996340264554,Pessimistic,1500.0
13,2021-04-12,125.65564564070155,63.25175365561283,12.12030622168636,469.7345081665172,Pessimistic,1555.0
14,2021-04-13,128.2771067945814,64.80124657061911,12.516553757632751,470.5967995735579,Pessimistic,1582.0
0,2021-03-30,100.17128332166612,41.774381468038676,7.0249264101621165,461.0438643642943,Expected,1267.0
1,2021-03-31,99.49586313103487,43.545293481301066,7.389213509959853,461.5483091099342,Expected,1278.0
2,2021-04-01,99.84054196033253,45.250278641745325,7.760868380851244,462.078525902213,Expected,1279.0
3,2021-04-02,100.80326040490422,46.894078078507356,8.137650268749285,462.6349500465687,Expected,1293.0
4,2021-04-03,102.14475417107496,48.48239645403601,8.517659512560375,463.2178719906226,Expected,1314.0
5,2021-04-04,103.72264240364211,50.021367140931815,8.899321437374498,463.8274607067087,Expected,1339.0
6,2021-04-05,105.45220198421566,51.517185145248135,9.281360993590194,464.46378559278804,Expected,1403.0
7,2021-04-06,107.28302245627629,52.97586597713794,9.662772552503688,465.1268364071028,Expected,1452.0
8,2021-04-07,109.18511159431159,54.403096454281474,10.04278793283402,465.8165410119636,Expected,1439.0
9,2021-04-08,111.14062528571071,55.80415089322698,10.420844710485976,466.53278087979663,Expected,1427.0
10,2021-04-09,113.13894471516733,57.183852586892286,10.796556107842232,467.2754044303789,Expected,1427.0
