,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-03-23,74.00361235580908,33.002646402626446,7.0293150177355015,454.0831309272649,Pessimistic,953.0
1,2021-03-24,74.42600114662423,34.18307218616166,7.27407280464982,454.5836955566097,Pessimistic,967.0
2,2021-03-25,75.32366672291892,35.34142699782295,7.527325341634224,455.101699181995,Pessimistic,976.0
3,2021-03-26,76.51528589745703,36.479639877353726,7.787688961651069,455.63768687772694,Pessimistic,989.0
4,2021-03-27,77.89329811146445,37.60026575462683,8.053973602606723,456.1921136466602,Pessimistic,1016.0
5,2021-03-28,79.39394835568373,38.706176135821,8.325176872294302,456.7653578127823,Pessimistic,1049.0
6,2021-03-29,80.97949631528559,39.800347188985306,8.600471678530873,457.3577337531676,Pessimistic,1082.0
7,2021-03-30,82.62765036138217,40.88571974145339,8.879190319800212,457.96950362613126,Pessimistic,1096.0
8,2021-03-31,84.32529207759148,41.96511119564798,9.160807040393282,458.60088792245693,Pessimistic,1092.0
9,2021-04-01,86.06474882847169,43.04116413395516,9.44492038750239,459.25207478233744,Pessimistic,1079.0
10,2021-04-02,87.84157959356412,44.11632027048983,9.731236222087372,459.92322809636204,Pessimistic,1080.0
11,2021-04-03,89.65325954892933,45.19281145867147,10.019551889832645,460.6144944557107,Pessimistic,1089.0
12,2021-04-04,91.49839844275493,46.272661794466444,10.309741818598214,461.3260090432312,Pessimistic,1101.0
13,2021-04-05,93.37627601682016,47.357696600039354,10.601744646658108,462.05790056966634,Pessimistic,1153.0
0,2021-03-23,73.49528199389442,32.881597275628714,7.022630381660423,454.0822721070031,Expected,952.0
1,2021-03-24,73.67030903919044,34.02163493776679,7.264188924992499,454.5822617045583,Expected,966.0
2,2021-03-25,74.3477167807755,35.13343215199008,7.513363041700974,455.09943609533263,Expected,974.0
3,2021-03-26,75.33317679382117,36.219040171294,7.76868658867516,455.63427585605814,Expected,985.0
4,2021-03-27,76.51111041446279,37.28116359549059,8.028898624746699,456.1871661267969,Expected,1011.0
5,2021-03-28,77.81280244779305,38.3228338631746,8.292936867230608,456.75841079652736,Expected,1043.0
6,2021-03-29,79.19742571289089,39.34718550255851,8.559924381193015,457.34824597278725,Expected,1074.0
7,2021-03-30,80.64074840387025,40.357308385535035,8.829152556190143,457.95685237481905,Expected,1086.0
8,2021-03-31,82.12841334581822,41.35615492418529,9.100062486937107,458.5843664691574,Expected,1080.0
9,2021-04-01,83.65193797375082,42.34648612768776,9.372226171089919,459.23089028889416,Expected,1065.0
10,2021-04-02,85.20633345825877,43.33084452036311,9.645328424061551,459.89649995783844,Expected,1063.0
11,2021-04-03,86.78868744414035,44.31154513731143,9.919150045200471,460.5812529902375,Expected,1069.0
12,2021-04-04,88.39732028971775,45.29067827696077,10.193552515584194,461.28519446467686,Expected,1078.0
13,2021-04-05,90.03128264038719,46.27011953697565,10.46846433592546,462.0083621839776,Expected,1127.0
0,2021-02-16,52.142857142857146,38.0,14.0,427.0,Historical,882.0
1,2021-02-17,48.142857142857146,39.0,12.0,428.0,Historical,842.0
2,2021-02-18,45.285714285714285,39.0,12.0,430.0,Historical,791.0
3,2021-02-19,43.57142857142857,42.0,11.0,430.0,Historical,742.0
4,2021-02-20,46.42857142857143,40.0,9.0,431.0,Historical,735.0
5,2021-02-21,48.857142857142854,38.0,8.0,431.0,Historical,754.0
6,2021-02-22,53.142857142857146,37.0,7.0,431.0,Historical,764.0
7,2021-02-23,56.142857142857146,34.0,6.0,435.0,Historical,758.0
8,2021-02-24,53.0,37.0,6.0,435.0,Historical,708.0
9,2021-02-25,52.142857142857146,34.0,5.0,437.0,Historical,682.0
10,2021-02-26,58.857142857142854,30.0,4.0,439.0,Historical,717.0
11,2021-02-27,57.714285714285715,26.0,3.0,439.0,Historical,729.0
12,2021-02-28,54.42857142857143,29.0,4.0,439.0,Historical,723.0
13,2021-03-01,52.714285714285715,32.0,6.0,439.0,Historical,741.0
14,2021-03-02,48.42857142857143,31.0,6.0,441.0,Historical,732.0
15,2021-03-03,50.57142857142857,26.0,7.0,441.0,Historical,725.0
16,2021-03-04,52.0,28.0,5.0,443.0,Historical,729.0
17,2021-03-05,49.285714285714285,27.0,5.0,444.0,Historical,757.0
18,2021-03-06,48.285714285714285,26.0,5.0,445.0,Historical,742.0
19,2021-03-07,50.57142857142857,25.0,5.0,445.0,Historical,735.0
20,2021-03-08,51.57142857142857,24.0,5.0,445.0,Historical,730.0
21,2021-03-09,55.57142857142857,23.0,5.0,448.0,Historical,728.0
22,2021-03-10,55.57142857142857,27.0,5.0,448.0,Historical,743.0
23,2021-03-11,57.285714285714285,27.0,4.0,449.0,Historical,765.0
24,2021-03-12,54.0,31.0,5.0,450.0,Historical,723.0
25,2021-03-13,53.714285714285715,29.0,5.0,451.0,Historical,714.0
26,2021-03-14,53.857142857142854,27.0,5.0,451.0,Historical,731.0
27,2021-03-15,54.714285714285715,25.0,5.0,451.0,Historical,744.0
28,2021-03-16,57.714285714285715,22.0,4.0,451.0,Historical,793.0
29,2021-03-17,61.714285714285715,21.0,6.0,451.0,Historical,821.0
30,2021-03-18,66.42857142857143,25.0,8.0,452.0,Historical,866.0
31,2021-03-19,69.71428571428571,21.0,8.0,453.0,Historical,866.0
32,2021-03-20,74.0,24.0,7.0,454.0,Historical,894.0
33,2021-03-21,78.71428571428571,27.0,7.0,454.0,Historical,928.0
34,2021-03-22,77.71428571428571,30.0,7.0,454.0,Historical,927.0
35,2021-03-23,73.71428571428571,33.0,7.0,454.0,Historical,952.0
