,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-03-24,71.90560492600594,40.93177725239713,6.9680920310501255,456.59507133981856,Pessimistic,949.0
1,2021-03-25,72.88151814712182,42.441055411327376,7.228499791088797,457.09189909591896,Pessimistic,956.0
2,2021-03-26,74.13438557604115,43.92143662142542,7.497218851491528,457.6072550612367,Pessimistic,966.0
3,2021-03-27,75.5645227174009,45.37666844627136,7.77285946371407,458.14167106536297,Pessimistic,991.0
4,2021-03-28,77.11295395599791,46.81089675211257,8.054252243596245,458.6955894430792,Pessimistic,1022.0
5,2021-03-29,78.74485375531367,48.2283807122595,8.340432601098568,459.26937794440005,Pessimistic,1053.0
6,2021-03-30,80.43972290596093,49.633306351993646,8.630621508519518,459.86334341105965,Pessimistic,1064.0
7,2021-03-31,82.1855601429179,51.029670638813826,8.924204808564339,460.47774404526274,Pessimistic,1058.0
8,2021-04-01,83.97540396060344,52.4212150697642,9.220712515080704,461.1128002230372,Pessimistic,1043.0
9,2021-04-02,85.80528055624745,53.81139323088876,9.519799019583102,461.76870388627054,Pessimistic,1042.0
10,2021-04-03,87.67298598823572,55.20336106475926,9.821224736082664,462.44562659731014,Pessimistic,1049.0
11,2021-04-04,89.57736326335544,56.59998179751057,10.124839454534532,463.14372636751546,Pessimistic,1060.0
12,2021-04-05,91.51787306532356,58.00383986215351,10.430567497448468,463.8631533834993,Pessimistic,1111.0
13,2021-04-06,93.49433870277653,59.4172598994803,10.738394660460356,464.6040547571241,Pessimistic,1146.0
14,2021-04-07,95.50679442224055,60.84232817784619,11.048356847660683,465.3665784213175,Pessimistic,1170.0
0,2021-03-24,71.57676638636406,40.76298350005163,6.961322611011775,456.5943096535075,Expected,949.0
1,2021-03-25,72.09993733735155,42.20618939174066,7.217914903187219,457.0905367540676,Expected,955.0
2,2021-03-26,72.97745018323201,43.608500653185445,7.48158316277527,457.60498265268274,Expected,964.0
3,2021-03-27,74.07482864026963,44.97380785083223,7.750790886876985,458.138087464071,Expected,987.0
4,2021-03-28,75.31211822510659,46.3064942932935,8.024240229860537,458.6901921734853,Expected,1016.0
5,2021-03-29,76.64180875549778,47.61110566814865,8.300856246368438,459.2615548267613,Expected,1045.0
6,2021-03-30,78.0356963408492,48.89213125701534,8.57976663785384,459.85236544225927,Expected,1054.0
7,2021-03-31,79.47706483194838,50.153865959084115,8.860279540700626,460.4627594244304,Expected,1045.0
8,2021-04-01,80.95603270626088,51.400329582942675,9.141861054677543,461.0928294055572,Expected,1027.0
9,2021-04-02,82.4667836562146,52.635225813187574,9.424113596854768,461.7426355384869,Expected,1022.0
10,2021-04-03,84.00591817670079,53.86192795234922,9.706755728256228,462.4122143229196,Expected,1025.0
