,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-03-03,48.857651343681255,761.0,25.87199874096936,7.080929419795995,440.8682357135845,Pessimistic
1,2021-03-04,48.749116713697845,743.0,25.89180638899757,7.110788951227307,441.40044026203554,Pessimistic
2,2021-03-05,48.690395447199876,742.0,25.91725978957193,7.138430573651584,441.9347987140275,Pessimistic
3,2021-03-06,48.66138385618672,732.0,25.94577096194486,7.164180876624655,442.4711576383866,Pessimistic
4,2021-03-07,48.64988540298691,713.0,25.975577735282666,7.188277065744357,443.00938454331623,Pessimistic
5,2021-03-08,48.64850047074799,710.0,26.00550024566361,7.210894373181165,443.5493622610008,Pessimistic
6,2021-03-09,48.652739620254806,712.0,26.03476666802596,7.232165246679841,444.0909850622194,Pessimistic
7,2021-03-10,48.65987901512392,711.0,26.0628889474931,7.252192702277791,444.6341559787195,Pessimistic
8,2021-03-11,48.66826605846745,715.0,26.089574528193864,7.271059551949792,445.17878496336465,Pessimistic
9,2021-03-12,48.676898142163964,720.0,26.11466392313083,7.288834729695235,445.7247876271298,Pessimistic
10,2021-03-13,48.685167079162284,663.0,26.138086780557703,7.305577587871836,446.2720843698747,Pessimistic
11,2021-03-14,48.69270404958888,652.0,26.15983115032673,7.321340782705608,446.8205997772039,Pessimistic
12,2021-03-15,48.6992855264441,672.0,26.179922140293762,7.336172186627377,447.3702621949649,Pessimistic
13,2021-03-16,48.70477619730809,686.0,26.19840722889081,7.3501161355107625,447.9210034206297,Pessimistic
14,2021-03-17,48.70909433190377,686.0,26.215346276830328,7.3632142265479565,448.47275847024974,Pessimistic
0,2021-03-03,47.99282764041334,760.0,25.58138123229737,7.066362869982315,440.8664573704649,Expected
1,2021-03-04,46.728539500946454,740.0,25.493015655942287,7.088250837119609,441.39728483425364,Expected
2,2021-03-05,45.76647954493387,736.0,25.393635533447156,7.105505424409912,441.929579219702,Expected
3,2021-03-06,44.99173207795093,722.0,25.28193466112367,7.118247338404235,442.4629978567586,Expected
4,2021-03-07,44.333773458971564,698.0,25.15758522134383,7.126564710605504,442.9972057122536,Expected
5,2021-03-08,43.749318174125506,690.0,25.020897239953904,7.13053783617902,443.5318739506057,Expected
6,2021-03-09,43.21179383230174,686.0,24.872576334797998,7.130253722935707,444.06667994392814,Expected
7,2021-03-10,42.70488328428962,679.0,24.713554282067495,7.12581372615923,444.6013080967311,Expected
8,2021-03-11,42.21856214119839,676.0,24.544872799241503,7.117336624135315,445.1354510599293,Expected
9,2021-03-12,41.74666738725659,674.0,24.3676057319817,7.104958800802878,445.66881105838337,Expected
10,2021-03-13,41.285405442677074,609.0,24.182808611591895,7.088832694990842,446.2011011611768,Expected
11,2021-03-14,40.83243666842509,590.0,23.991487463888934,7.069124307432429,446.73204639623486,Expected
12,2021-03-15,40.38631358122916,601.0,23.79458095880103,7.046010292649203,447.2613846597681,Expected
13,2021-03-16,39.946136113683224,606.0,23.592951640917324,7.019674975856733,447.7888674031307,Expected
14,2021-03-17,39.5113400615362,598.0,23.38738320155339,6.990307504568414,448.31426010000746,Expected
0,2021-02-02,95.71428571428571,1477.0,61,19,410,Historical
1,2021-02-03,91.57142857142857,1476.0,55,21,414,Historical
2,2021-02-04,92.57142857142857,1464.0,57,19,416,Historical
3,2021-02-05,90.57142857142857,1433.0,64,17,416,Historical
4,2021-02-06,89.42857142857143,1407.0,64,17,416,Historical
5,2021-02-07,88.42857142857143,1329.0,64,17,418,Historical
6,2021-02-08,80.28571428571429,1239.0,82,22,418,Historical
7,2021-02-09,76.42857142857143,1205.0,63,16,418,Historical
8,2021-02-10,73.85714285714286,1158.0,58,16,423,Historical
9,2021-02-11,72.14285714285714,1153.0,49,14,424,Historical
10,2021-02-12,67.71428571428571,1108.0,40,13,425,Historical
11,2021-02-13,62.42857142857143,1063.0,40,13,425,Historical
12,2021-02-14,58.57142857142857,1029.0,40,13,426,Historical
13,2021-02-15,58.857142857142854,974.0,40,13,426,Historical
14,2021-02-16,56.0,927.0,38,14,426,Historical
15,2021-02-17,52.142857142857146,882.0,39,12,427,Historical
16,2021-02-18,48.142857142857146,842.0,39,12,428,Historical
17,2021-02-19,45.285714285714285,791.0,42,11,430,Historical
18,2021-02-20,43.57142857142857,742.0,42,11,430,Historical
19,2021-02-21,46.42857142857143,735.0,42,11,431,Historical
20,2021-02-22,48.857142857142854,754.0,54,24,431,Historical
21,2021-02-23,53.142857142857146,764.0,37,7,431,Historical
22,2021-02-24,56.142857142857146,758.0,37,6,435,Historical
23,2021-02-25,53.0,708.0,34,5,435,Historical
24,2021-02-26,52.142857142857146,682.0,30,3,437,Historical
25,2021-02-27,58.857142857142854,717.0,30,3,439,Historical
26,2021-02-28,57.714285714285715,729.0,30,3,439,Historical
27,2021-03-01,54.42857142857143,723.0,31,3,439,Historical
28,2021-03-02,52.714285714285715,741.0,31,6,439,Historical
29,2021-03-03,48.42857142857143,760.0,26,7,441,Historical
