,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-03-20,73.61104321313996,21.19424532623274,7.9221718007184245,454.1898077232084,Pessimistic,887.0
1,2021-03-21,75.02849008321584,21.78468500262074,8.103293850209907,454.7506472005136,Pessimistic,917.0
2,2021-03-22,74.48491421442043,22.386693737055662,8.293139779254867,455.3244725722022,Pessimistic,949.0
3,2021-03-23,74.79910334409294,22.996205291770536,8.49128601851887,455.9118805185743,Pessimistic,976.0
4,2021-03-24,75.63430515831794,23.610740610245163,8.697209442562006,456.51343410523106,Pessimistic,992.0
5,2021-03-25,76.79065355421335,24.228941922072455,8.910355115525734,457.1296583488045,Pessimistic,1003.0
6,2021-03-26,78.14957485479658,24.850224577437235,9.13018001742638,457.7610396388247,Pessimistic,1017.0
7,2021-03-27,79.64077280905008,25.474522082987143,9.356179608848505,458.4080275849362,Pessimistic,1046.0
8,2021-03-28,81.22262173248191,26.10210271927769,9.587902430571088,459.07103827882963,Pessimistic,1081.0
9,2021-03-29,82.8705220055449,26.733439913955216,9.824956582539615,459.7504582748782,Pessimistic,1116.0
10,2021-03-30,84.56998408248182,27.369122268861084,10.06701086886079,460.44664882394903,Pessimistic,1132.0
11,2021-03-31,86.31252064215664,28.009792396213797,10.313792590888557,461.15995006042743,Pessimistic,1130.0
12,2021-04-01,88.09320647458503,28.656106395010998,10.565083371371001,461.890684959205,Pessimistic,1119.0
13,2021-04-02,89.90922885586951,29.308707913268236,10.820713954330797,462.639162960031,Pessimistic,1122.0
14,2021-04-03,91.75902620485658,29.96821236853163,11.08055860965473,463.40568321108935,Pessimistic,1140.0
15,2021-04-04,93.64177614871187,30.635198126622374,11.344529547334217,464.19053741938853,Pessimistic,1159.0
0,2021-03-20,73.61104321313996,21.10248047058744,7.915857679367921,454.18919757064936,Expected,887.0
1,2021-03-21,74.49731069450377,21.64950424745434,8.092663272547602,454.74945304509504,Expected,916.0
2,2021-03-22,73.2152352099805,22.19843623017779,8.276501479465301,455.3223346579474,Expected,947.0
3,2021-03-23,72.91194641426614,22.745204667856076,8.466688696839864,455.90831144917036,Expected,972.0
4,2021-03-24,73.1987379389335,23.28745636824653,8.662469382270485,456.5078015894123,Expected,985.0
5,2021-03-25,73.84357733289653,23.82404067731433,8.863085730300682,457.1211699609678,Expected,993.0
6,2021-03-26,74.70795829065128,24.35462374950728,9.067821248675449,457.74872965262125,Expected,1004.0
7,2021-03-27,75.70920539774875,24.879406604533468,9.276025795055668,458.39074581748616,Expected,1029.0
8,2021-03-28,76.79797195216838,25.398923184777367,9.48712781426099,459.04744080666524,Expected,1060.0
9,2021-03-29,77.94480689346187,25.913898595887133,9.700638021082343,459.71899983910356,Expected,1090.0
10,2021-03-30,79.13213540750007,26.425151749646297,9.916147597875046,460.40557672223946,Expected,1100.0
11,2021-03-31,80.34947123611323,26.93353022162854,10.133323079081826,461.10729932002596,Expected,1092.0
12,2021-04-01,81.590558220302,27.439868119877353,10.35189942619809,461.8242745923569,Expected,1075.0
13,2021-04-02,82.8516635789149,27.944960134823177,10.57167230782876,462.5565931171521,Expected,1071.0
14,2021-04-03,84.13055878790942,28.44954677566601,10.792490248182082,463.30433306438954,Expected,1081.0
15,2021-04-04,85.4259109810016,28.9543071874087,11.01424705909308,464.0675636286063,Expected,1092.0
0,2021-02-13,58.57142857142857,43.0,15.0,426.0,Historical,1029.0
1,2021-02-14,58.857142857142854,41.0,15.0,426.0,Historical,974.0
2,2021-02-15,56.0,39.0,14.0,426.0,Historical,927.0
3,2021-02-16,52.142857142857146,38.0,14.0,427.0,Historical,882.0
4,2021-02-17,48.142857142857146,39.0,12.0,428.0,Historical,842.0
5,2021-02-18,45.285714285714285,39.0,12.0,430.0,Historical,791.0
6,2021-02-19,43.57142857142857,42.0,11.0,430.0,Historical,742.0
7,2021-02-20,46.42857142857143,40.0,9.0,431.0,Historical,735.0
