,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-04-08,98.1412252524135,47.01611916550166,8.004186540292826,469.1772391729024,Pessimistic,1399.0
1,2021-04-09,98.19199260822757,47.951407738501864,8.165866919186383,469.9849089210795,Pessimistic,1384.0
2,2021-04-10,98.40806689558394,48.81134165581939,8.329589608363749,470.80884706582805,Pessimistic,1380.0
3,2021-04-11,98.72243795748705,49.60198921664411,8.493754632074937,471.64917535015223,Pessimistic,1376.0
4,2021-04-12,99.09462839932257,50.32963119207375,8.65703496152947,472.5058695047985,Pessimistic,1404.0
5,2021-04-13,99.50017169294733,51.000450811440814,8.81835138242454,473.3787852919136,Pessimistic,1404.0
6,2021-04-14,99.92426340176007,51.62034111518163,8.976844954513561,474.26768189577757,Pessimistic,1390.0
7,2021-04-15,100.35793022765301,52.19479397346703,9.13184920287641,475.1722425347709,Pessimistic,1354.0
8,2021-04-16,100.79571824001096,52.728844921493554,9.282863384872474,476.09209234041083,Pessimistic,1343.0
9,2021-04-17,101.23429778160926,53.227055291737386,9.429527622351126,477.0268136541556,Pessimistic,1348.0
10,2021-04-18,101.67162152718538,53.69351851659138,9.571600309541264,477.97595895138375,Pessimistic,1355.0
11,2021-04-19,102.10641634975718,54.13188140555924,9.708937953682202,478.93906162942665,Pessimistic,1396.0
12,2021-04-20,102.53787663854746,54.54537404137749,9.841477441320308,479.9156449034017,Pessimistic,1423.0
13,2021-04-21,102.9654791986618,54.93684397460506,9.96922062153555,480.90522904738236,Pessimistic,1404.0
14,2021-04-22,103.38887153275618,55.308791842203775,10.09222103881708,481.9073372043573,Pessimistic,1409.0
0,2021-04-08,97.47103940531315,46.76570106670254,7.995251093152916,469.1757904865578,Expected,1398.0
1,2021-04-09,96.62118738536287,47.606592131099035,8.152005953371969,469.98233351176225,Expected,1382.0
2,2021-04-10,96.12160695871034,48.35693483440152,8.309285286294578,470.80457837881966,Expected,1376.0
3,2021-04-11,95.83236845324973,49.02369831218381,8.465346782488492,471.64248781719164,Expected,1369.0
4,2021-04-12,95.66865409330626,49.614205176460075,8.61875368029926,472.4958659566226,Expected,1394.0
5,2021-04-13,95.57904916734856,50.135742109212266,8.768348445786188,473.3643875807892,Expected,1390.0
6,2021-04-14,95.53238555805729,50.5953111302348,8.913222852809493,474.24762454489536,Expected,1372.0
7,2021-04-15,95.50976799430941,50.999480871321694,9.052687119943405,475.1450691394045,Expected,1332.0
8,2021-04-16,95.4997411622287,51.354307546342774,9.186239823768762,476.0561543981539,Expected,1315.0
9,2021-04-17,95.49536034405719,51.66530338636839,9.31353963847169,476.98027148550244,Expected,1314.0
10,2021-04-18,95.49241575244469,51.937436471051804,9.434379483275983,477.9167843772178,Expected,1314.0
11,2021-04-19,95.48835613464416,52.17515050602196,9.548663339366152,478.8650420908752,Expected,1348.0
12,2021-04-20,95.48163623485016,52.382396508868716,9.656385785892779,479.82438873633157,Expected,1367.0
13,2021-04-21,95.47132118872787,52.56267085735171,9.757614169590726,480.79417165451304,Expected,1340.0
14,2021-04-22,95.45684667176192,52.719055951230004,9.852473241580865,481.7737478997958,Expected,1338.0
0,2021-03-04,52.0,28.0,5.0,443.0,Historical,729.0
1,2021-03-05,49.285714285714285,27.0,5.0,444.0,Historical,757.0
2,2021-03-06,48.285714285714285,26.0,5.0,445.0,Historical,742.0
3,2021-03-07,50.57142857142857,25.0,5.0,445.0,Historical,735.0
4,2021-03-08,51.57142857142857,24.0,5.0,445.0,Historical,730.0
5,2021-03-09,55.57142857142857,23.0,5.0,448.0,Historical,728.0
6,2021-03-10,55.57142857142857,27.0,5.0,448.0,Historical,743.0
7,2021-03-11,57.285714285714285,27.0,4.0,449.0,Historical,765.0
8,2021-03-12,54.0,31.0,5.0,450.0,Historical,723.0
9,2021-03-13,53.714285714285715,29.0,5.0,451.0,Historical,714.0
10,2021-03-14,53.857142857142854,27.0,5.0,451.0,Historical,731.0
11,2021-03-15,54.714285714285715,25.0,5.0,451.0,Historical,744.0
12,2021-03-16,57.714285714285715,22.0,4.0,451.0,Historical,793.0
