,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-03-29,103.50885534473923,42.95467807890974,8.963421703698389,462.48635359608846,Pessimistic,1269.0
1,2021-03-30,103.34429648129753,44.78381758378494,9.411135518115346,463.12939200444777,Pessimistic,1303.0
2,2021-03-31,104.16013198821588,46.565614915385915,9.869732189915961,463.8041662302367,Pessimistic,1319.0
3,2021-04-01,105.5740474807219,48.30375517903676,10.336825250445816,464.51135248333065,Pessimistic,1326.0
4,2021-04-02,107.35932473795674,50.002939308086255,10.810381360538372,465.2514723025741,Pessimistic,1346.0
5,2021-04-03,109.38155935055966,51.66836668207312,11.288708565313103,466.02491695069114,Pessimistic,1374.0
6,2021-04-04,111.56111508028425,53.30537826107126,11.7704328599692,466.8319705419796,Pessimistic,1407.0
7,2021-04-05,113.85084691903376,54.91922001890561,12.254468311577572,467.67283127849475,Pessimistic,1480.0
8,2021-04-06,116.22288274752441,56.51489414137006,12.739984406334132,468.54763048012205,Pessimistic,1538.0
9,2021-04-07,118.66077945641382,58.0970726980441,13.226373089611501,469.4564493067027,Pessimistic,1535.0
10,2021-04-08,121.15486786438805,59.670054683850665,13.713217077932425,470.39933321036517,Pessimistic,1533.0
11,2021-04-09,123.69948971056056,61.23775232439391,14.200260383732784,471.37630424313164,Pessimistic,1544.0
12,2021-04-10,126.29135736237868,62.80369643124066,14.687381547374194,472.3873713941423,Pessimistic,1568.0
13,2021-04-11,128.92857974904246,64.37105354623552,15.17456976768867,473.4325391541261,Pessimistic,1594.0
14,2021-04-12,131.61008365407588,65.94264980970719,15.661903923679564,474.51181451067157,Pessimistic,1622.0
0,2021-03-29,103.0615931733314,42.773976148134714,8.953738985080125,462.4852656156151,Expected,1268.0
1,2021-03-30,102.27717305221472,44.53216014478778,9.395981978155273,463.12744445617767,Expected,1301.0
2,2021-03-31,102.57506676607545,46.23005308590353,9.847330312851804,463.80091525937917,Expected,1316.0
3,2021-04-01,103.52819699022871,47.871491661608175,10.305184861524372,464.50622221412686,Expected,1321.0
4,2021-04-02,104.88240079836237,49.46143563280037,10.767326112652286,465.2437408752363,Expected,1339.0
5,2021-04-03,106.48642176082717,51.00540104865416,11.231902301078655,466.0137044169342,Expected,1364.0
6,2021-04-04,108.25024617566669,52.509067967201226,11.697404614922847,466.81622856396353,Expected,1393.0
7,2021-04-05,110.12030680225871,53.978019573680754,12.162635212425302,467.6513345074967,Expected,1462.0
8,2021-04-06,112.06472459948509,55.41757752447299,12.62667207744657,468.5189694522915,Expected,1516.0
9,2021-04-07,114.06452437051485,56.83270601004336,13.088833434016006,469.4190246755864,Expected,1508.0
10,2021-04-08,116.10840579792557,58.22796366662456,13.548643469186542,470.35135113289823,Expected,1501.0
11,2021-04-09,118.18963057821475,59.607487871713175,14.005800412939585,471.3157727424258,Expected,1506.0
12,2021-04-10,120.30416907946301,60.9750001925077,14.460147532258675,472.3120975349123,Expected,1524.0
13,2021-04-11,122.44959671781544,62.33382498278086,14.911647261491877,473.3401268823129,Expected,1543.0
14,2021-04-12,124.62443662024361,63.68691553099677,15.360358470820515,474.39966302588675,Expected,1565.0
0,2021-02-22,53.142857142857146,37.0,7.0,431.0,Historical,764.0
1,2021-02-23,56.142857142857146,34.0,6.0,435.0,Historical,758.0
2,2021-02-24,53.0,37.0,6.0,435.0,Historical,708.0
3,2021-02-25,52.142857142857146,34.0,5.0,437.0,Historical,682.0
4,2021-02-26,58.857142857142854,30.0,4.0,439.0,Historical,717.0
5,2021-02-27,57.714285714285715,26.0,3.0,439.0,Historical,729.0
6,2021-02-28,54.42857142857143,29.0,4.0,439.0,Historical,723.0
7,2021-03-01,52.714285714285715,32.0,6.0,439.0,Historical,741.0
8,2021-03-02,48.42857142857143,31.0,6.0,441.0,Historical,732.0
9,2021-03-03,50.57142857142857,26.0,7.0,441.0,Historical,725.0
10,2021-03-04,52.0,28.0,5.0,443.0,Historical,729.0
11,2021-03-05,49.285714285714285,27.0,5.0,444.0,Historical,757.0
12,2021-03-06,48.285714285714285,26.0,5.0,445.0,Historical,742.0
13,2021-03-07,50.57142857142857,25.0,5.0,445.0,Historical,735.0
14,2021-03-08,51.57142857142857,24.0,5.0,445.0,Historical,730.0
15,2021-03-09,55.57142857142857,23.0,5.0,448.0,Historical,728.0
16,2021-03-10,55.57142857142857,27.0,5.0,448.0,Historical,743.0
17,2021-03-11,57.285714285714285,27.0,4.0,449.0,Historical,765.0
18,2021-03-12,54.0,31.0,5.0,450.0,Historical,723.0
19,2021-03-13,53.714285714285715,29.0,5.0,451.0,Historical,714.0
20,2021-03-14,53.857142857142854,27.0,5.0,451.0,Historical,731.0
21,2021-03-15,54.714285714285715,25.0,5.0,451.0,Historical,744.0
22,2021-03-16,57.714285714285715,22.0,4.0,451.0,Historical,793.0
23,2021-03-17,61.714285714285715,21.0,6.0,451.0,Historical,821.0
24,2021-03-18,66.42857142857143,25.0,8.0,452.0,Historical,866.0
25,2021-03-19,69.71428571428571,21.0,8.0,453.0,Historical,866.0
26,2021-03-20,74.0,24.0,7.0,454.0,Historical,894.0
27,2021-03-21,78.71428571428571,27.0,7.0,454.0,Historical,928.0
28,2021-03-22,77.71428571428571,30.0,7.0,454.0,Historical,927.0
29,2021-03-23,76.14285714285714,33.0,7.0,457.0,Historical,937.0
30,2021-03-24,81.0,41.0,7.0,458.0,Historical,999.0
31,2021-03-25,84.42857142857143,39.0,7.0,459.0,Historical,1056.0
32,2021-03-26,88.14285714285714,40.0,7.0,462.0,Historical,1105.0
33,2021-03-27,91.14285714285714,41.0,8.0,462.0,Historical,1156.0
34,2021-03-28,94.57142857142857,42.0,8.0,462.0,Historical,1213.0
35,2021-03-29,103.42857142857143,43.0,9.0,462.0,Historical,1268.0
