,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-02-14,59.58286608479182,1041.0,40.68468363049269,12.847516468652312,426.65110995316667,Pessimistic
1,2021-02-15,59.70653013350818,1011.0,40.040263298730906,12.513649418226295,427.6020382153053,Pessimistic
2,2021-02-16,59.52151511454349,1007.0,39.42730469309733,12.197723080785869,428.5286058906815,Pessimistic
3,2021-02-17,59.14958468912528,992.0,38.84139372198188,11.89867166486759,429.4321185368606,Pessimistic
4,2021-02-18,58.66545231082614,944.0,38.2790423554298,11.615444497656316,430.31380221984926,Pessimistic
5,2021-02-19,58.114959406555045,901.0,37.73744243338819,11.347022055871339,431.17480529466377,Pessimistic
6,2021-02-20,57.52622950141267,851.0,37.214295273742714,11.092425954789329,432.01620114694583,Pessimistic
7,2021-02-21,56.91651265318251,833.0,36.70769176854932,10.850724836300211,432.8389915201297,Pessimistic
8,2021-02-22,56.29638551703147,856.0,36.21602650112066,10.621037460996718,433.64411017271254,Pessimistic
9,2021-02-23,55.672328796789316,875.0,35.73793508369443,10.402533890469362,434.43242669127346,Pessimistic
10,2021-02-24,55.0483090068858,874.0,35.272247568201294,10.194435367594387,435.20475034020836,Pessimistic
11,2021-02-25,54.42674922472224,833.0,34.817953152641856,9.996013315743442,435.9618338672653,Pessimistic
12,2021-02-26,53.809124881142,817.0,34.37417295450401,9.806587751104303,436.7043772104825,Pessimistic
13,2021-02-27,53.19632943796819,799.0,33.94013864310622,9.625525315397093,437.43303107073285,Pessimistic
14,2021-02-28,52.58889884123096,792.0,33.51517540097793,9.452237076008137,438.1484003272294,Pessimistic
0,2021-02-14,58.6144451299283,1040.0,40.35655105487702,12.834070601395702,426.6494572487986,Expected
1,2021-02-15,57.471669768980064,1007.0,39.59303827183299,12.492955681160812,427.5991179777562,Expected
2,2021-02-16,56.33007844030408,999.0,38.84417065933488,12.167656911605093,428.5237959632352,Expected
3,2021-02-17,55.19803671956015,980.0,38.107397296469564,11.856960803218783,429.42463151978126,Expected
4,2021-02-18,54.080566584357484,927.0,37.381228628390176,11.559725839106516,430.30267654114994,Expected
5,2021-02-19,52.98062079937995,879.0,36.66487444307119,11.274894704191658,431.1589004167065,Expected
6,2021-02-20,51.89987235482931,823.0,35.95799404486274,11.00149870610164,431.99419655113843,Expected
7,2021-02-21,50.83920351475922,799.0,35.26052521863126,10.73865720657916,432.8093890141459,Expected
8,2021-02-22,49.79900878781973,816.0,34.57256836314929,10.48557399401572,433.6052390229112,Expected
9,2021-02-23,48.7793826270763,828.0,33.89430910580584,10.241531905753583,434.3824510802296,Expected
10,2021-02-24,47.78023571897688,820.0,33.225967624501344,10.005886574851782,435.1416786720816,Expected
11,2021-02-25,46.80136703093831,772.0,32.56776638471853,9.778059874646885,435.883529482035,Expected
12,2021-02-26,45.84250844842836,748.0,31.91991046636759,9.557533426434066,436.6085701145799,Expected
13,2021-02-27,44.90335242830838,722.0,31.28257640098136,9.343842393186382,437.3173303412181,Expected
14,2021-02-28,43.98356912806048,707.0,30.65590667435502,9.136569685779577,438.01030689599094,Expected
0,2021-01-16,155.14285714285714,2427.0,108,20,320,Historical
1,2021-01-17,145.42857142857142,2410.0,108,20,322,Historical
2,2021-01-18,139.28571428571428,2450.0,108,20,322,Historical
3,2021-01-19,132.28571428571428,2391.0,55,13,324,Historical
4,2021-01-20,127.85714285714286,2323.0,102,21,325,Historical
5,2021-01-21,119.28571428571429,2120.0,100,23,328,Historical
6,2021-01-22,116.71428571428571,1988.0,84,21,332,Historical
7,2021-01-23,112.28571428571429,1872.0,84,21,336,Historical
8,2021-01-24,115.28571428571429,1825.0,84,21,342,Historical
9,2021-01-25,114.42857142857143,1776.0,89,21,342,Historical
10,2021-01-26,115.28571428571429,1733.0,82,21,401,Historical
11,2021-01-27,119.28571428571429,1730.0,80,22,404,Historical
12,2021-01-28,116.57142857142857,1651.0,71,20,406,Historical
13,2021-01-29,114.14285714285714,1616.0,71,20,407,Historical
14,2021-01-30,111.57142857142857,1567.0,73,19,407,Historical
15,2021-01-31,101.42857142857143,1517.0,73,19,410,Historical
16,2021-02-01,96.71428571428571,1478.0,63,16,410,Historical
17,2021-02-02,95.71428571428571,1477.0,61,19,410,Historical
18,2021-02-03,91.57142857142857,1476.0,55,21,414,Historical
19,2021-02-04,92.57142857142857,1464.0,57,19,416,Historical
20,2021-02-05,90.57142857142857,1433.0,64,17,416,Historical
21,2021-02-06,89.42857142857143,1407.0,64,17,416,Historical
22,2021-02-07,88.42857142857143,1329.0,64,17,418,Historical
23,2021-02-08,80.28571428571429,1239.0,82,22,418,Historical
24,2021-02-09,76.42857142857143,1205.0,63,16,418,Historical
25,2021-02-10,73.85714285714286,1158.0,58,16,423,Historical
26,2021-02-11,72.14285714285714,1153.0,49,14,424,Historical
27,2021-02-12,67.71428571428571,1108.0,40,13,425,Historical
28,2021-02-13,62.42857142857143,1063.0,40,13,425,Historical
29,2021-02-14,58.57142857142857,1040.0,40,13,426,Historical
