,Date,Reported_New_Cases,Hospitalizations,ICU,Deaths,Scenario,Active_Cases
0,2021-03-23,73.93572341009178,32.94767688935808,6.976797963246984,454.63737901541197,Pessimistic,953.0
1,2021-03-24,74.01918101483648,34.19553751926168,7.234675474143913,455.1347210811773,Pessimistic,967.0
2,2021-03-25,74.70912084205929,35.416909984886026,7.5018907250390985,455.65045129867576,Pessimistic,976.0
3,2021-03-26,75.7708674523517,36.613725850660025,7.776852707161624,456.1851663698544,Pessimistic,988.0
4,2021-03-27,77.06517778530883,37.788703036338156,8.05818680355129,456.73935919421103,Pessimistic,1014.0
5,2021-03-28,78.50948270072308,38.94497613245502,8.344730324927953,457.31343391943005,Pessimistic,1047.0
6,2021-03-29,80.05486975697363,40.08584049253937,8.635519983576375,457.90772037354276,Pessimistic,1079.0
7,2021-03-30,81.67241366992675,41.214581225030386,8.929774779020383,458.52248744273845,Pessimistic,1092.0
8,2021-03-31,83.34505784763019,42.33436401750071,9.226876727669685,459.1579551640721,Pessimistic,1087.0
9,2021-04-01,85.06279249075806,43.448169997757695,9.52635107934254,459.8143054435981,Pessimistic,1073.0
10,2021-04-02,86.81979045239063,44.55876125186613,9.827847082463592,460.49169140403905,Pessimistic,1073.0
11,2021-04-03,88.61270580572318,45.66866714403529,10.131119942588528,461.190245424992,Pessimistic,1081.0
12,2021-04-04,90.43966296279905,46.780184308220704,10.436014326765626,461.9100859729439,Pessimistic,1092.0
13,2021-04-05,92.2996559348885,47.895385239043854,10.742449567070365,462.65132333561337,Pessimistic,1143.0
14,2021-04-06,94.19219119608124,49.01613193543992,11.05040658519134,463.4140643809346,Pessimistic,1163.0
0,2021-03-23,73.71900179307556,32.85731631381117,6.972311678642456,454.6368747395096,Expected,953.0
1,2021-03-24,73.50241630105006,34.06972867182949,7.227656145452013,455.1338185964455,Expected,967.0
2,2021-03-25,73.9422366880591,35.249194551906704,7.491516230530276,455.6489451249249,Expected,975.0
3,2021-03-26,74.78174059912669,36.3977218588651,7.76220280640649,456.1827899740417,Expected,986.0
4,2021-03-27,75.86822079296007,37.518157280369266,8.038255366965997,456.73577854851004,Expected,1011.0
5,2021-03-28,77.11086803200374,38.61379192640861,8.31843747655532,457.3082419164262,Expected,1042.0
6,2021-03-29,78.4557078769758,39.688087752427,8.601723589188284,457.9004320710943,Expected,1072.0
7,2021-03-30,79.87068553170502,40.74449443062847,8.88728093752422,458.5125360795725,Expected,1083.0
8,2021-03-31,81.3367894678845,41.78633227560353,9.174449089693601,459.1446888693716,Expected,1076.0
9,2021-04-01,82.84276862632373,42.81672231835508,9.46271893349852,459.7969845558411,Expected,1060.0
10,2021-04-02,84.38198815963142,43.8385492651511,9.751712228023083,460.4694863131221,Expected,1057.0
11,2021-04-03,85.95055786497664,44.85444680752584,10.041162416772305,461.16223485485176,Expected,1062.0
12,2021-04-04,87.54621804669569,45.866797646148875,10.330897083456279,461.87525562777074,Expected,1071.0
13,2021-04-05,89.16767617168557,46.87774278586202,10.620822217705923,462.60856484008514,Expected,1119.0
14,2021-04-06,90.81421182792837,47.889196290665666,10.910908316597478,463.3621744528382,Expected,1136.0
0,2021-02-16,52.142857142857146,38.0,14.0,427.0,Historical,882.0
1,2021-02-17,48.142857142857146,39.0,12.0,428.0,Historical,842.0
2,2021-02-18,45.285714285714285,39.0,12.0,430.0,Historical,791.0
