,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-02-10,73.10146886413008,1175.0,57.1202421289537,15.933318013647012,423.55412022808656,Pessimistic
1,2021-02-11,72.64041589820249,1148.0,57.02091082774427,15.697240031006665,424.74013326104034,Pessimistic
2,2021-02-12,72.19510051853945,1105.0,56.90159126114435,15.481174283535383,425.90920635819856,Pessimistic
3,2021-02-13,71.75944725367845,1061.0,56.76167354115916,15.282758510766792,427.06275046428715,Pessimistic
4,2021-02-14,71.32976661491239,1050.0,56.601628342818636,15.099854865965145,428.2020077516786,Pessimistic
5,2021-02-15,70.90382464769482,1031.0,56.42257268082502,14.930547535538246,429.3280684244427,Pessimistic
6,2021-02-16,70.48027526653459,1037.0,56.22597660769496,14.773132544771647,430.44188702525224,Pessimistic
7,2021-02-17,70.05831390929325,1033.0,56.01346852478584,14.626103145193081,431.5442977947805,Pessimistic
8,2021-02-18,69.63746621482733,996.0,55.78670905448842,14.488133054116833,432.63602884319323,Pessimistic
9,2021-02-19,69.21745907953232,964.0,55.5473121953789,14.358059032276927,433.71771503242604,Pessimistic
10,2021-02-20,68.79814197599376,925.0,55.296798749769074,14.234863742169544,434.78990955774566,Pessimistic
11,2021-02-21,68.37943893946931,918.0,55.036571481068115,14.11765945709356,435.85309427292873,Pessimistic
12,2021-02-22,67.96131926740782,953.0,54.767904635936716,14.005672938412957,436.9076888360478,Pessimistic
13,2021-02-23,67.5437796378319,984.0,54.49194272002835,13.898231630291177,437.9540587699222,Pessimistic
14,2021-02-24,67.12683319595271,978.0,54.20970500975906,13.794751211500634,438.9925225380709,Pessimistic
0,2021-02-10,72.15280900464154,1174.0,56.671824859520136,15.914705902243183,423.55184176703,Expected
1,2021-02-11,70.43528222180453,1144.0,56.407294881387536,15.668504658586144,424.73609728746027,Expected
2,2021-02-12,69.02036006922322,1098.0,56.098219567081784,15.439289532932795,425.90254187478837,Expected
3,2021-02-13,67.79600246361179,1050.0,55.74622453705078,15.224460298577839,427.05235011265046,Expected
4,2021-02-14,66.69325885336525,1035.0,55.354235378037544,15.021716772900792,428.18651281612586,Expected
5,2021-02-15,65.66968209009451,1011.0,54.92588915408218,14.829052304822659,429.30585937321854,Expected
6,2021-02-16,64.69912709145228,1012.0,54.46513371127326,14.644736935268224,430.41107917657575,Expected
7,2021-02-17,63.76547627600462,1002.0,53.975962317336425,14.467294799634807,431.50274155282665,Expected
8,2021-02-18,62.85878012030935,958.0,53.462244508001696,14.29547888786397,432.58131388222625,Expected
9,2021-02-19,61.97288316517006,919.0,52.927624331805056,14.128245226337295,433.6471777933594,Expected
10,2021-02-20,61.10396369775185,872.0,52.37546502685663,13.964727796727546,434.70064344276125,Expected
11,2021-02-21,60.24963544139587,857.0,51.80882503603761,13.804214981687725,435.7419619670601,Expected
12,2021-02-22,59.40839495232831,883.0,51.23045461319121,13.646127965569322,436.77133624005893,Expected
13,2021-02-23,58.57928167807768,905.0,50.642805456176475,13.490001274710853,437.78893008952923,Expected
14,2021-02-24,57.761668839210415,891.0,50.048048112686494,13.33546548234536,438.794876135913,Expected
0,2021-01-12,209.28571428571428,2535.0,124,26,309,Historical
1,2021-01-13,204.0,2533.0,114,26,312,Historical
2,2021-01-14,183.57142857142858,2524.0,104,24,318,Historical
3,2021-01-15,167.28571428571428,2433.0,108,20,318,Historical
4,2021-01-16,155.14285714285714,2427.0,108,20,320,Historical
5,2021-01-17,145.42857142857142,2410.0,108,20,322,Historical
6,2021-01-18,139.28571428571428,2450.0,108,20,322,Historical
7,2021-01-19,132.28571428571428,2391.0,55,13,324,Historical
8,2021-01-20,127.85714285714286,2323.0,102,21,325,Historical
9,2021-01-21,119.28571428571429,2120.0,100,23,328,Historical
10,2021-01-22,116.71428571428571,1988.0,84,21,332,Historical
11,2021-01-23,112.28571428571429,1872.0,84,21,336,Historical
12,2021-01-24,115.28571428571429,1825.0,84,21,342,Historical
13,2021-01-25,114.42857142857143,1776.0,89,21,342,Historical
14,2021-01-26,115.28571428571429,1733.0,82,21,401,Historical
15,2021-01-27,119.28571428571429,1730.0,80,22,404,Historical
16,2021-01-28,116.57142857142857,1651.0,71,20,406,Historical
17,2021-01-29,114.14285714285714,1616.0,71,20,407,Historical
18,2021-01-30,111.57142857142857,1567.0,73,19,407,Historical
19,2021-01-31,101.42857142857143,1517.0,73,19,410,Historical
20,2021-02-01,96.71428571428571,1478.0,63,16,410,Historical
21,2021-02-02,95.71428571428571,1477.0,61,19,410,Historical
22,2021-02-03,91.57142857142857,1476.0,55,21,414,Historical
23,2021-02-04,92.57142857142857,1464.0,57,19,416,Historical
24,2021-02-05,90.57142857142857,1433.0,64,17,416,Historical
25,2021-02-06,89.42857142857143,1407.0,64,17,416,Historical
26,2021-02-07,88.42857142857143,1329.0,64,17,418,Historical
27,2021-02-08,80.28571428571429,1239.0,82,22,418,Historical
28,2021-02-09,76.42857142857143,1205.0,63,16,418,Historical
29,2021-02-10,73.85714285714286,1174.0,58,16,423,Historical
