,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-01-27,118.98747565215172,1746.0,81.22690860092656,22.04032806054467,404.6133456514686,Pessimistic
1,2021-01-28,118.96000659955939,1686.0,81.63150934436675,21.88021523998482,406.1504122605493,Pessimistic
2,2021-01-29,119.1514945910053,1655.0,82.04775238941122,21.745122510133296,407.6771595804704,Pessimistic
3,2021-01-30,119.47266880966845,1609.0,82.4686386825582,21.6328555655016,409.19526195452846,Pessimistic
4,2021-01-31,119.86959812818623,1597.0,82.88957390911702,21.541293208658917,410.7062423763126,Pessimistic
5,2021-02-01,120.30967869839878,1588.0,83.30762845421064,21.468428161771186,412.2114791671367,Pessimistic
6,2021-02-02,120.7731785115443,1644.0,83.72101042344644,21.41238909927455,413.71221481106323,Pessimistic
7,2021-02-03,121.24813487683878,1690.0,84.12869312847394,21.371450013953165,415.2095658590218,Pessimistic
8,2021-02-04,121.72727507253103,1693.0,84.53015387301511,21.344031248187108,416.70453317577983,Pessimistic
9,2021-02-05,122.20615786573944,1683.0,84.92519246746558,21.32869522989047,418.19801205907845,Pessimistic
10,2021-02-06,122.68205180235645,1672.0,85.31380652019716,21.324139021672153,419.6908019386281,Pessimistic
11,2021-02-07,123.15325815111419,1642.0,85.69610691096679,21.329185125816377,421.1836154856376,Pessimistic
12,2021-02-08,123.61870222165953,1643.0,86.07226150880608,21.342771514817546,422.6770870470265,Pessimistic
13,2021-02-09,124.0776866720139,1696.0,86.44245858880284,21.363941524083767,424.1717803740056,Pessimistic
14,2021-02-10,124.52974259841449,1702.0,86.80688386063444,21.391834010844654,425.6681956506398,Pessimistic
0,2021-01-27,117.97331284412257,1745.0,80.76568076156603,22.020187757292746,404.6110576074099,Expected
1,2021-01-28,116.5843722671309,1683.0,80.99639729650518,21.84897265841238,406.14634470417866,Expected
2,2021-01-29,115.69555237993563,1649.0,81.210748464277,21.699355741515948,407.6704176741914,Expected
3,2021-01-30,115.10752602744606,1599.0,81.40338520973988,21.5688212823114,409.1846996488778,Expected
4,2021-01-31,114.69934234963648,1582.0,81.57162348905447,21.454999989819196,410.69044248200976,Expected
5,2021-02-01,114.39761053281882,1567.0,81.71455896415381,21.35570718121991,412.1887384872256,Expected
6,2021-02-02,114.15780191983094,1616.0,81.83243758798696,21.26895950932829,413.6805340473819,Expected
7,2021-02-03,113.95290435580591,1655.0,81.92621428844517,21.19297751562551,415.1666438630826,Expected
8,2021-02-04,113.76653737723973,1650.0,81.99724834500458,21.126179182060806,416.6477650397366,Expected
9,2021-02-05,113.58877409145543,1632.0,82.0470970452522,21.06716810302342,418.1244905175124,Expected
10,2021-02-06,113.41360548093235,1611.0,82.07737925827234,21.014718767249192,419.59732156032095,Expected
11,2021-02-07,113.23740139402662,1571.0,82.08968819474046,20.967760624300546,421.06667916412937,Expected
12,2021-02-08,113.05797640019136,1561.0,82.0855383401761,20.92536203018545,422.5329143406577,Expected
13,2021-02-09,112.87402274518263,1603.0,82.06633578150758,20.886714759095653,423.9963172940118,Expected
14,2021-02-10,112.68476611776259,1598.0,82.03336425339424,20.851119485905414,425.45712554539546,Expected
0,2020-12-29,99.0,1635.0,89,14,285,Historical
1,2020-12-30,99.14285714285714,1633.0,81,14,285,Historical
2,2020-12-31,107.57142857142857,1679.0,97,16,288,Historical
3,2021-01-01,124.85714285714286,1790.0,86,11,289,Historical
4,2021-01-02,132.14285714285714,1805.0,86,11,289,Historical
5,2021-01-03,139.85714285714286,1750.0,86,11,289,Historical
6,2021-01-04,146.0,1705.0,86,11,289,Historical
7,2021-01-05,152.85714285714286,1763.0,96,18,289,Historical
8,2021-01-06,157.85714285714286,1799.0,123,21,299,Historical
9,2021-01-07,177.0,1992.0,121,24,299,Historical
10,2021-01-08,180.28571428571428,2136.0,129,24,303,Historical
11,2021-01-09,191.57142857142858,2266.0,129,24,307,Historical
12,2021-01-10,198.85714285714286,2371.0,129,24,309,Historical
13,2021-01-11,210.71428571428572,2497.0,126,25,309,Historical
14,2021-01-12,209.28571428571428,2535.0,124,26,309,Historical
15,2021-01-13,204.0,2533.0,114,26,312,Historical
16,2021-01-14,183.57142857142858,2524.0,104,24,318,Historical
17,2021-01-15,167.28571428571428,2433.0,108,20,318,Historical
18,2021-01-16,155.14285714285714,2427.0,108,20,320,Historical
19,2021-01-17,145.42857142857142,2410.0,108,20,322,Historical
20,2021-01-18,139.28571428571428,2450.0,108,20,322,Historical
21,2021-01-19,132.28571428571428,2391.0,55,13,324,Historical
22,2021-01-20,127.85714285714286,2323.0,102,21,325,Historical
23,2021-01-21,119.28571428571429,2120.0,100,23,328,Historical
24,2021-01-22,116.71428571428571,1988.0,84,21,332,Historical
25,2021-01-23,112.28571428571429,1872.0,84,21,336,Historical
26,2021-01-24,115.28571428571429,1825.0,84,21,342,Historical
27,2021-01-25,114.42857142857143,1776.0,89,21,342,Historical
28,2021-01-26,115.28571428571429,1733.0,82,21,401,Historical
29,2021-01-27,119.28571428571429,1745.0,80,22,404,Historical
