,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-02-28,57.87753011900236,727.0,30.183493344925346,3.0645999762089047,439.44768856302744,Pessimistic
1,2021-03-01,56.21477205508029,748.0,30.621691927289334,2.979652286020222,439.6742753767058,Pessimistic
2,2021-03-02,55.33393989392084,786.0,31.04620307075176,2.905722291750071,439.89491177530044,Pessimistic
3,2021-03-03,54.924817931314124,812.0,31.453637685790724,2.841655528527286,440.1103802226893,Pessimistic
4,2021-03-04,54.8002265694887,800.0,31.842447686934833,2.78639110697641,440.32138008346374,Pessimistic
5,2021-03-05,54.84721680952475,805.0,32.21233079122877,2.738963164239755,440.528534722934,Pessimistic
6,2021-03-06,54.99762562259457,801.0,32.56379471022325,2.6984987038816532,440.7323985711804,Pessimistic
7,2021-03-07,55.210311565630036,788.0,32.897844532132545,2.664213123558607,440.9334639314517,Pessimistic
8,2021-03-08,55.46043703821624,791.0,33.2157630681782,2.635404379887947,441.13216739703904,Pessimistic
9,2021-03-09,55.73300181653531,800.0,33.51896001853717,2.6114464653805345,441.3288958012218,Pessimistic
10,2021-03-10,56.018941460390806,806.0,33.8088712425042,2.5917826631982597,441.52399166728037,Pessimistic
11,2021-03-11,56.312773192649274,817.0,34.086893942663714,2.575918890125213,441.71775815437996,Pessimistic
12,2021-03-12,56.611175444228365,830.0,34.35434718839752,2.563417325133931,441.910463513937,Pessimistic
13,2021-03-13,56.912130740538714,781.0,34.61245001112355,2.553890440385,442.1023450826879,Pessimistic
14,2021-03-14,57.2144084982333,780.0,34.86231143809172,2.5469954952971334,442.29361284520724,Pessimistic
0,2021-02-28,57.44367715482031,726.0,29.995461914929738,3.0622649684847194,439.4474054635238,Expected
1,2021-03-01,55.18583556384419,746.0,30.36206571560754,2.976020814733586,439.67377092098826,Expected
2,2021-03-02,53.82223423934397,783.0,30.703197266617696,2.9003900439109893,439.8940738403322,Expected
3,2021-03-03,53.00058332751712,807.0,31.016105543607683,2.834178678530324,440.10906482699335,Expected
4,2021-03-04,52.50715913833983,793.0,31.29999802802283,2.776294860480372,440.31940874418683,Expected
5,2021-03-05,52.21229902094319,795.0,31.555383572171877,2.725750062817524,440.5256924473418,Expected
6,2021-03-06,52.037336889638595,788.0,31.783592153514483,2.6816563546332692,440.728432451058,Expected
7,2021-03-07,51.93454502407974,772.0,31.98643183337511,2.643221156718847,440.92808228914674,Expected
8,2021-03-08,51.87496574455167,772.0,32.16594944820472,2.6097405400194535,441.1250394211684,Expected
9,2021-03-09,51.841029317553875,777.0,32.3242681199371,2.580591814057962,441.3196516058614,Expected
10,2021-03-10,51.82207538695002,779.0,32.4634806323196,2.5552259195380658,441.51222270874814,Expected
11,2021-03-11,51.81163584468641,786.0,32.58558274113832,2.533159965891181,441.70301794293465,Expected
12,2021-03-12,51.80578631515459,794.0,32.69243452640137,2.5139701283050218,441.8922685626816,Expected
13,2021-03-13,51.80214595306302,740.0,32.785741046795266,2.497285028879226,442.08017604185153,Expected
14,2021-03-14,51.79927057500959,735.0,32.86704596200803,2.4827796639770336,442.26691577618857,Expected
0,2021-01-30,111.57142857142857,1567.0,73,19,407,Historical
1,2021-01-31,101.42857142857143,1517.0,73,19,410,Historical
2,2021-02-01,96.71428571428571,1478.0,63,16,410,Historical
3,2021-02-02,95.71428571428571,1477.0,61,19,410,Historical
4,2021-02-03,91.57142857142857,1476.0,55,21,414,Historical
5,2021-02-04,92.57142857142857,1464.0,57,19,416,Historical
6,2021-02-05,90.57142857142857,1433.0,64,17,416,Historical
7,2021-02-06,89.42857142857143,1407.0,64,17,416,Historical
8,2021-02-07,88.42857142857143,1329.0,64,17,418,Historical
9,2021-02-08,80.28571428571429,1239.0,82,22,418,Historical
10,2021-02-09,76.42857142857143,1205.0,63,16,418,Historical
11,2021-02-10,73.85714285714286,1158.0,58,16,423,Historical
12,2021-02-11,72.14285714285714,1153.0,49,14,424,Historical
13,2021-02-12,67.71428571428571,1108.0,40,13,425,Historical
14,2021-02-13,62.42857142857143,1063.0,40,13,425,Historical
15,2021-02-14,58.57142857142857,1029.0,40,13,426,Historical
16,2021-02-15,58.857142857142854,974.0,40,13,426,Historical
17,2021-02-16,56.0,927.0,38,14,426,Historical
18,2021-02-17,52.142857142857146,882.0,39,12,427,Historical
19,2021-02-18,48.142857142857146,842.0,39,12,428,Historical
20,2021-02-19,45.285714285714285,791.0,42,11,430,Historical
21,2021-02-20,43.57142857142857,742.0,42,11,430,Historical
22,2021-02-21,46.42857142857143,735.0,42,11,431,Historical
23,2021-02-22,48.857142857142854,754.0,54,24,431,Historical
24,2021-02-23,53.142857142857146,764.0,37,7,431,Historical
25,2021-02-24,56.142857142857146,758.0,37,6,435,Historical
26,2021-02-25,53.0,708.0,34,5,435,Historical
27,2021-02-26,52.142857142857146,682.0,30,3,437,Historical
28,2021-02-27,58.857142857142854,717.0,30,3,439,Historical
29,2021-02-28,57.714285714285715,726.0,30,3,439,Historical
