,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-03-02,53.753400452138976,760.0,31.37764045513675,6.121991759805529,438.81532680832674,Pessimistic
1,2021-03-03,52.707612157437666,784.0,31.71247743602601,6.118439565085978,439.2743004117447,Pessimistic
2,2021-03-04,52.079295200197635,769.0,32.019518088560375,6.121112909730216,439.73324830193155,Pessimistic
3,2021-03-05,51.70369258155824,771.0,32.298409316137,6.128903846109454,440.1925951951077,Pessimistic
4,2021-03-06,51.48085026620379,763.0,32.54989840614041,6.140814401755928,440.65268677201226,Pessimistic
5,2021-03-07,51.35012710091053,746.0,32.775412391678834,6.155962169225598,441.11379818974365,Pessimistic
6,2021-03-08,51.27473178180912,745.0,32.97676061256373,6.173578846384424,441.5761427292487,Pessimistic
7,2021-03-09,51.23234232511004,749.0,33.155929349844946,6.193004358096351,442.03988015379696,Pessimistic
8,2021-03-10,51.20941530613527,750.0,33.31494399295736,6.213678431177763,442.50512452136456,Pessimistic
9,2021-03-11,51.19773343355473,756.0,33.45577990114119,6.235130920703633,442.97195131167933,Pessimistic
10,2021-03-12,51.19231100397815,763.0,33.5803077895842,6.256971761618786,443.440403809302,Pessimistic
11,2021-03-13,51.19012313215626,708.0,33.690263157056236,6.278881112191663,443.9104987375024,Pessimistic
12,2021-03-14,51.18933474837627,699.0,33.78723210927854,6.3006000371900885,444.38223117150113,Pessimistic
13,2021-03-15,51.18883280217983,721.0,33.87264807511996,6.321921926169321,444.8555787796666,Pessimistic
14,2021-03-16,51.18794242486001,718.0,33.94779550672617,6.342684738282775,445.33050545175587,Pessimistic
0,2021-03-02,52.866789491012014,759.0,30.996058676140777,6.10910693416079,438.81375641409977,Expected
1,2021-03-03,50.6253600259995,781.0,31.188305032203896,6.098482490055608,439.27151121851983,Expected
2,2021-03-04,49.052643618850425,763.0,31.330630679239285,6.091930921082612,439.7286304876788,Expected
3,2021-03-05,47.8922226912872,761.0,31.42436917353008,6.088158375800646,440.185370196743,Expected
4,2021-03-06,46.98674677423071,749.0,31.47216842861771,6.086031853445025,440.6418952565705,Expected
5,2021-03-07,46.23965150473384,727.0,31.477439011785613,6.084582591912062,441.0982917730392,Expected
6,2021-03-08,45.5916706670763,721.0,31.443964005478662,6.08300058039525,441.55457920265474,Expected
7,2021-03-09,45.0064245130535,719.0,31.375631383911127,6.080623631222021,442.01072187443174,Expected
8,2021-03-10,44.46157690249606,713.0,31.276257107825757,6.076923469496045,442.4666395675539,Expected
9,2021-03-11,43.94340929534269,712.0,31.149473980083243,6.071490546631002,442.9222169891962,Expected
10,2021-03-12,43.44349125907934,711.0,30.998667190278187,6.064018720013484,443.37731210264445,Expected
11,2021-03-13,42.95663738750227,648.0,30.82694227772862,6.05429052874749,443.8317633252178,Expected
12,2021-03-14,42.47965357383487,630.0,30.637115023329187,6.042163500799481,444.2853956585593,Expected
13,2021-03-15,42.01056765099747,643.0,30.431715684335146,6.027557721232005,444.738025838317,Expected
14,2021-03-16,41.54815725870458,632.0,30.21300217299205,6.010444751509966,445.1894666018799,Expected
0,2021-02-01,96.71428571428571,1478.0,63,16,410,Historical
1,2021-02-02,95.71428571428571,1477.0,61,19,410,Historical
2,2021-02-03,91.57142857142857,1476.0,55,21,414,Historical
3,2021-02-04,92.57142857142857,1464.0,57,19,416,Historical
4,2021-02-05,90.57142857142857,1433.0,64,17,416,Historical
5,2021-02-06,89.42857142857143,1407.0,64,17,416,Historical
6,2021-02-07,88.42857142857143,1329.0,64,17,418,Historical
7,2021-02-08,80.28571428571429,1239.0,82,22,418,Historical
8,2021-02-09,76.42857142857143,1205.0,63,16,418,Historical
9,2021-02-10,73.85714285714286,1158.0,58,16,423,Historical
10,2021-02-11,72.14285714285714,1153.0,49,14,424,Historical
11,2021-02-12,67.71428571428571,1108.0,40,13,425,Historical
12,2021-02-13,62.42857142857143,1063.0,40,13,425,Historical
13,2021-02-14,58.57142857142857,1029.0,40,13,426,Historical
14,2021-02-15,58.857142857142854,974.0,40,13,426,Historical
15,2021-02-16,56.0,927.0,38,14,426,Historical
16,2021-02-17,52.142857142857146,882.0,39,12,427,Historical
17,2021-02-18,48.142857142857146,842.0,39,12,428,Historical
18,2021-02-19,45.285714285714285,791.0,42,11,430,Historical
19,2021-02-20,43.57142857142857,742.0,42,11,430,Historical
20,2021-02-21,46.42857142857143,735.0,42,11,431,Historical
21,2021-02-22,48.857142857142854,754.0,54,24,431,Historical
22,2021-02-23,53.142857142857146,764.0,37,7,431,Historical
23,2021-02-24,56.142857142857146,758.0,37,6,435,Historical
24,2021-02-25,53.0,708.0,34,5,435,Historical
25,2021-02-26,52.142857142857146,682.0,30,3,437,Historical
26,2021-02-27,58.857142857142854,717.0,30,3,439,Historical
27,2021-02-28,57.714285714285715,729.0,30,3,439,Historical
28,2021-03-01,54.42857142857143,723.0,31,3,439,Historical
29,2021-03-02,52.714285714285715,759.0,31,6,439,Historical
