,UVA,LNQ,UGA-CEID,SignatureScience,MOBS,Covid19Sim,UM,Karlen,Microsoft,IEM,MIT-ISOLAT,JHU-IDD,Ensemble,Columbia,JHU-APL,JHU-UNC-Google,JHU-CSSE,BPagano,MIT-ORC,USC,LANL,ESG
2021-04-17,101.57142857142857,103.42857142857143,105.85714285714286,99.71428571428571,133.42857142857142,108.0,100.42857142857143,163.57142857142858,118.0,158.85714285714286,67.85714285714286,112.0,107.0,94.57142857142857,160.28571428571428,99.42857142857143,131.71428571428572,123.42857142857143,77.85714285714286,112.0,124.14285714285714,120.0
2021-04-18,100.93877551020408,104.0204081632653,106.63265306122449,99.51020408163265,136.34693877551018,106.63265306122449,100.36734693877551,170.9183673469388,120.08163265306122,162.48979591836735,67.46938775510205,117.71428571428571,106.89795918367346,94.26530612244898,164.87755102040816,98.77551020408164,134.44897959183675,127.42857142857143,73.93877551020408,110.51020408163265,123.75510204081633,119.20408163265306
2021-04-19,100.3061224489796,104.61224489795919,107.40816326530613,99.3061224489796,139.26530612244898,105.26530612244898,100.3061224489796,178.26530612244898,122.16326530612245,166.12244897959184,67.08163265306122,123.42857142857143,106.79591836734694,93.95918367346938,169.46938775510202,98.12244897959184,137.18367346938777,131.42857142857142,70.02040816326532,109.0204081632653,123.36734693877551,118.40816326530613
2021-04-20,99.6734693877551,105.20408163265306,108.18367346938776,99.10204081632654,142.18367346938774,103.89795918367346,100.24489795918367,185.6122448979592,124.24489795918367,169.75510204081633,66.6938775510204,129.14285714285714,106.6938775510204,93.65306122448979,174.0612244897959,97.46938775510205,139.9183673469388,135.42857142857142,66.10204081632654,107.53061224489795,122.9795918367347,117.61224489795919
2021-04-21,99.0408163265306,105.79591836734694,108.9591836734694,98.89795918367346,145.10204081632654,102.53061224489797,100.18367346938776,192.9591836734694,126.32653061224491,173.3877551020408,66.3061224489796,134.85714285714286,106.59183673469389,93.34693877551021,178.6530612244898,96.81632653061224,142.6530612244898,139.42857142857142,62.183673469387756,106.04081632653062,122.59183673469387,116.81632653061224
2021-04-22,98.40816326530611,106.38775510204081,109.73469387755102,98.6938775510204,148.0204081632653,101.16326530612245,100.12244897959184,200.30612244897958,128.40816326530614,177.0204081632653,65.91836734693878,140.57142857142858,106.48979591836735,93.04081632653062,183.24489795918367,96.16326530612245,145.3877551020408,143.42857142857142,58.26530612244898,104.55102040816327,122.20408163265306,116.0204081632653
2021-04-23,97.77551020408163,106.9795918367347,110.51020408163266,98.48979591836735,150.9387755102041,99.79591836734694,100.06122448979592,207.6530612244898,130.48979591836735,180.6530612244898,65.53061224489795,146.28571428571428,106.38775510204083,92.73469387755102,187.83673469387753,95.51020408163265,148.12244897959184,147.42857142857142,54.34693877551021,103.06122448979592,121.81632653061224,115.22448979591837
2021-04-24,97.14285714285714,107.57142857142857,111.28571428571429,98.28571428571429,153.85714285714286,98.42857142857143,100.0,215.0,132.57142857142858,184.28571428571428,65.14285714285714,152.0,106.28571428571429,92.42857142857143,192.42857142857142,94.85714285714286,150.85714285714286,151.42857142857142,50.42857142857143,101.57142857142857,121.42857142857143,114.42857142857143
2021-04-25,100.3469387755102,108.36734693877551,111.83673469387756,98.22448979591837,158.73469387755102,97.06122448979592,98.93877551020408,224.0204081632653,133.53061224489798,188.55102040816325,64.77551020408163,161.55102040816325,106.53061224489797,92.20408163265306,197.0408163265306,94.0,153.77551020408163,156.0204081632653,47.244897959183675,99.42857142857143,119.93877551020408,112.83673469387756
2021-04-26,103.55102040816327,109.16326530612244,112.38775510204081,98.16326530612245,163.6122448979592,95.6938775510204,97.87755102040816,233.04081632653063,134.48979591836735,192.81632653061223,64.40816326530611,171.10204081632654,106.77551020408164,91.9795918367347,201.6530612244898,93.14285714285715,156.69387755102042,160.6122448979592,44.06122448979592,97.28571428571428,118.44897959183673,111.24489795918367
